round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,4.6033,0.0126,4.6034,0.0111,4.6034,0.0126
2,4.5997,0.0170,4.6000,0.0178,4.6002,0.0177
3,4.5937,0.0172,4.5941,0.0204,4.5946,0.0159
4,4.5834,0.0244,4.5842,0.0234,4.5853,0.0239
5,4.5639,0.0224,4.5666,0.0219,4.5685,0.0216
6,4.5326,0.0238,4.5356,0.0233,4.5385,0.0238
7,4.4854,0.0274,4.4876,0.0263,4.4923,0.0267
8,4.4199,0.0366,4.4207,0.0413,4.4275,0.0356
9,4.3364,0.0456,4.3299,0.0503,4.3415,0.0485
10,4.2436,0.0564,4.2437,0.0597,4.2545,0.0575
11,4.1506,0.0742,4.1373,0.0732,4.1605,0.0668
12,4.1067,0.0736,4.0994,0.0731,4.1177,0.0707
13,4.0924,0.0690,4.0733,0.0749,4.0931,0.0690
14,4.0576,0.0760,4.0428,0.0858,4.0645,0.0768
15,4.0268,0.0934,4.0155,0.0915,4.0379,0.0874
16,4.0166,0.0834,4.0081,0.0910,4.0262,0.0860
17,4.0086,0.0828,3.9818,0.0941,4.0018,0.0847
18,3.9978,0.0940,3.9645,0.0973,3.9864,0.0894
19,3.9729,0.0974,3.9518,0.1009,3.9722,0.0936
20,3.9501,0.0990,3.9304,0.1047,3.9585,0.0969
21,3.9380,0.1012,3.9202,0.1024,3.9340,0.0975
22,3.9248,0.1032,3.8829,0.1115,3.9121,0.1017
23,3.8965,0.1050,3.8775,0.1107,3.8990,0.1028
24,3.8756,0.1116,3.8611,0.1087,3.8777,0.1039
25,3.8630,0.1056,3.8226,0.1152,3.8450,0.1078
26,3.8250,0.1202,3.8036,0.1245,3.8235,0.1172
27,3.8098,0.1222,3.7825,0.1273,3.7993,0.1180
28,3.8111,0.1228,3.7843,0.1297,3.7961,0.1219
29,3.7741,0.1260,3.7358,0.1340,3.7608,0.1253
30,3.7524,0.1350,3.7308,0.1330,3.7486,0.1258
31,3.7433,0.1292,3.7176,0.1404,3.7270,0.1307
32,3.7373,0.1324,3.7045,0.1391,3.7132,0.1345
33,3.7353,0.1344,3.6954,0.1463,3.7109,0.1359
34,3.7169,0.1302,3.6661,0.1476,3.6837,0.1377
35,3.6811,0.1426,3.6623,0.1477,3.6676,0.1397
36,3.6967,0.1356,3.6565,0.1440,3.6546,0.1415
37,3.6615,0.1482,3.6448,0.1488,3.6376,0.1473
38,3.6462,0.1450,3.6254,0.1509,3.6238,0.1468
39,3.6438,0.1518,3.6257,0.1570,3.6196,0.1495
40,3.6265,0.1492,3.6040,0.1520,3.5991,0.1502
41,3.6125,0.1576,3.6176,0.1529,3.5873,0.1543
42,3.5870,0.1538,3.5897,0.1652,3.5691,0.1584
43,3.6093,0.1608,3.5957,0.1566,3.5684,0.1574
44,3.6043,0.1542,3.5753,0.1658,3.5563,0.1585
45,3.5746,0.1612,3.5615,0.1710,3.5475,0.1622
46,3.5575,0.1650,3.5347,0.1654,3.5135,0.1688
47,3.5341,0.1604,3.5448,0.1751,3.5076,0.1667
48,3.5415,0.1690,3.5401,0.1691,3.5075,0.1677
49,3.5265,0.1706,3.4976,0.1764,3.4795,0.1712
50,3.5238,0.1738,3.5063,0.1759,3.4871,0.1726
51,3.5052,0.1740,3.4794,0.1823,3.4575,0.1790
52,3.5066,0.1692,3.4794,0.1833,3.4560,0.1790
53,3.4779,0.1780,3.4509,0.1856,3.4232,0.1838
54,3.4476,0.1804,3.4361,0.1881,3.4203,0.1830
55,3.4622,0.1858,3.4517,0.1895,3.4127,0.1868
